,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude
3993,Sunday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3994,Wednesday,Burglary,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3995,Tuesday,Non-Criminal,25TH ST \ GUERRERO ST,37.750372239652755,-122.42272561201122
3996,Friday,Missing Person,GUERRERO ST \ BROSNAN ST,37.768629313657044,-122.42442416173678
3997,Sunday,Motor Vehicle Theft,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3998,Monday,Miscellaneous Investigation,GUERRERO ST \ BROSNAN ST,37.768629313657044,-122.42442416173678
3999,Monday,Fraud,GUERRERO ST \ ALVARADO ST,37.754375197396186,-122.42306213798885
4000,Friday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
4001,Thursday,Traffic Violation Arrest,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
4002,Thursday,Burglary,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
4003,Sunday,Larceny Theft,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
4004,Saturday,Fraud,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
4005,Monday,Other Miscellaneous,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
4006,Thursday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
4007,Thursday,Larceny Theft,GUERRERO ST \ ALVARADO ST,37.754375197396186,-122.42306213798885
4008,Tuesday,Non-Criminal,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
4009,Saturday,Malicious Mischief,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
4010,Tuesday,Non-Criminal,HILL ST \ GUERRERO ST,37.755970966730814,-122.42321453596978
4011,Saturday,Vehicle Impounded,GUERRERO ST \ CESAR CHAVEZ ST,37.74801344882507,-122.42248736491136
4012,Thursday,Other Miscellaneous,21ST ST \ GUERRERO ST,37.756768780060355,-122.42333060702008
4013,Friday,Assault,24TH ST \ GUERRERO ST,37.75197162434785,-122.4228788338116
4014,Monday,Disorderly Conduct,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
4015,Sunday,Other Miscellaneous,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
