,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude,probability,rate,overnight,openSpaces,numberOfCameras
1123,Wednesday,Malicious Mischief,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,33,0,1,3,-1
1124,Tuesday,Larceny Theft,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,65,0,1,5,-1
1125,Sunday,Miscellaneous Investigation,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,60,0,1,3,-1
1126,Monday,Fraud,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,33,0,1,4,11
1127,Saturday,Larceny Theft,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,45,0,1,2,3
1128,Wednesday,Malicious Mischief,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,59,0,1,18,-1
1129,Saturday,Non-Criminal,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,41,0,1,4,-1
1130,Saturday,Larceny Theft,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,42,0,1,5,-1
1131,Thursday,Larceny Theft,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,67,0,1,9,-1
1132,Monday,Lost Property,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,27,0,1,1,11
1133,Tuesday,Robbery,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,70,0,1,14,2
1134,Monday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,,0,1,0,-1
1135,Thursday,Assault,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,36,0,1,6,-1
1136,Sunday,Burglary,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,61,0,1,4,-1
1137,Monday,Assault,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,36,0,1,12,6
1138,Sunday,Non-Criminal,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,78,0,1,4,-1
1139,Thursday,Missing Person,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,29,0,1,3,-1
1140,Wednesday,Larceny Theft,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,87,0,1,7,-1
1141,Wednesday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,56,0,1,5,2
1142,Friday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,81,0,1,4,-1
1143,Monday,Motor Vehicle Theft,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,39,0,1,3,-1
1144,Saturday,Burglary,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,46,0,1,4,12
1145,Friday,Fraud,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,78,0,1,3,-1
1146,Wednesday,Other Miscellaneous,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,85,0,1,20,-1
1147,Tuesday,Burglary,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,90,0,1,8,-1
1148,Thursday,Fraud,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,94,0,1,12,12
1149,Sunday,Malicious Mischief,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,83,0,1,6,-1
1150,Sunday,Suspicious Occ,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,87,0,1,12,-1
1151,Tuesday,Lost Property,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,92,0,1,10,12
1152,Saturday,Assault,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,82,0,1,4,-1
1153,Saturday,Miscellaneous Investigation,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,82,0,1,4,-1
1154,Friday,Burglary,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,81,0,1,4,-1
1155,Monday,Disorderly Conduct,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,86,0,1,6,-1
1156,Saturday,Larceny Theft,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,46,0,1,4,-1
1157,Wednesday,Other,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,78,0,1,3,-1
1158,Sunday,Non-Criminal,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,83,0,1,5,-1
1159,Monday,Larceny Theft,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,40,0,1,1,-1
1160,Tuesday,Malicious Mischief,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,78,0,1,6,9
1161,Thursday,Recovered Vehicle,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,83,0,1,9,6
1162,Sunday,Burglary,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,40,0,1,2,-1
1163,Saturday,Malicious Mischief,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,39,0,1,3,-1
1164,Friday,Malicious Mischief,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,81,0,1,4,3
1165,Friday,Fraud,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,22,0,1,2,-1
1166,Wednesday,Other Offenses,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,76,0,1,6,-1
1167,Monday,Burglary,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,32,0,1,1,-1
1168,Monday,Suspicious Occ,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,42,0,1,3,-1
1169,Thursday,Larceny Theft,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,26,0,1,1,-1
1170,Thursday,Motor Vehicle Theft,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,76,0,1,6,-1
1171,Monday,Robbery,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,41,0,1,2,2
1172,Sunday,Larceny Theft,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,68,0,1,3,-1
1173,Wednesday,Case Closure,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,33,0,1,4,-1
1174,Monday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,60,0,1,3,-1
1175,Thursday,Larceny Theft,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,58,0,1,4,-1
1176,Monday,Disorderly Conduct,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,71,0,1,3,-1
1177,Friday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,32,0,1,1,-1
1178,Thursday,Malicious Mischief,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,54,0,1,1,-1
1179,Saturday,Fraud,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,43,0,1,1,12
1180,Sunday,Non-Criminal,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,,inf,0,0,-1
1181,Monday,Malicious Mischief,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,33,0,1,3,2
1182,Sunday,Lost Property,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,47,0,1,2,-1
1183,Monday,Burglary,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,42,0,1,3,-1
1184,Sunday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,73,0,1,8,-1
1185,Tuesday,Larceny Theft,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,46,0,1,4,-1
1186,Saturday,Non-Criminal,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,78,0,1,3,2
1187,Saturday,Drug Offense,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,52,0,1,6,-1
1188,Thursday,Suspicious Occ,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,85,0,1,12,-1
1189,Wednesday,Burglary,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,63,0,1,12,2
1190,Friday,Malicious Mischief,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,81,0,1,6,5
1191,Thursday,Burglary,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,80,0,1,5,-1
1192,Thursday,Robbery,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,56,0,1,4,3
1193,Monday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,8,0,1,1,-1
1194,Thursday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,56,0,1,4,5
1195,Thursday,Burglary,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,85,0,1,4,-1
1196,Friday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,85,0,1,5,-1
1197,Sunday,Burglary,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,30,0,1,5,12
1198,Sunday,Larceny Theft,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,59,0,1,18,-1
1199,Tuesday,Fraud,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,41,0,1,4,-1
1200,Sunday,Malicious Mischief,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,85,0,1,20,-1
1201,Saturday,Robbery,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,90,0,1,8,12
1202,Wednesday,Assault,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,40,0,1,2,3
1203,Sunday,Larceny Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,39,0,1,3,12
1204,Thursday,Malicious Mischief,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,81,0,1,4,-1
1205,Friday,Motor Vehicle Theft,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,22,0,1,2,-1
1206,Friday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,76,0,1,6,-1
1207,Thursday,,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,32,0,1,1,11
1208,Saturday,Miscellaneous Investigation,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,42,0,1,3,11
1209,Monday,Motor Vehicle Theft,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,26,0,1,1,6
1210,Tuesday,Missing Person,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,76,0,1,6,-1
1211,Friday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,41,0,1,2,3
1212,Thursday,Larceny Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,68,0,1,3,3
1213,Thursday,Larceny Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,33,0,1,4,3
1214,Sunday,Malicious Mischief,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,60,0,1,3,12
1215,Monday,Larceny Theft,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,58,0,1,4,11
1216,Saturday,Malicious Mischief,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,71,0,1,3,2
1217,Thursday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,32,0,1,1,7
1218,Wednesday,Lost Property,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,54,0,1,1,3
1219,Saturday,Courtesy Report,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,43,0,1,1,12
1220,Wednesday,,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,,inf,0,0,3
1221,Monday,Burglary,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,33,0,1,3,-1
1222,Monday,Non-Criminal,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,47,0,1,2,-1
1223,Wednesday,Recovered Vehicle,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,42,0,1,3,-1
1224,Tuesday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,73,0,1,8,-1
1225,Saturday,Courtesy Report,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,45,0,1,4,-1
1226,Thursday,Lost Property,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,58,0,1,4,3
1227,Thursday,Malicious Mischief,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,33,0,1,4,-1
1228,Thursday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,60,0,1,3,-1
1229,Monday,Larceny Theft,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,65,0,1,5,-1
1230,Sunday,Larceny Theft,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,33,0,1,3,-1
1231,Thursday,Burglary,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,41,0,1,2,3
1232,Tuesday,Non-Criminal,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,68,0,1,3,-1
1233,Friday,Miscellaneous Investigation,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,45,0,1,2,3
1234,Tuesday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,66,0,1,6,11
1235,Tuesday,Recovered Vehicle,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,32,0,1,1,-1
1236,Friday,Larceny Theft,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,36,0,1,5,-1
1237,Sunday,Fraud,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,85,0,1,20,-1
1238,Thursday,Malicious Mischief,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,90,0,1,8,-1
1239,Wednesday,Offences Against The Family And Children,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,94,0,1,12,4
1240,Thursday,Larceny Theft,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,83,0,1,6,2
1241,Saturday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,87,0,1,12,-1
1242,Sunday,Burglary,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,92,0,1,10,3
1243,Saturday,Non-Criminal,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,82,0,1,4,-1
1244,Saturday,Malicious Mischief,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,82,0,1,4,-1
1245,Friday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,81,0,1,4,-1
1246,Monday,Assault,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,86,0,1,6,-1
1247,Saturday,Motor Vehicle Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,46,0,1,4,2
1248,Thursday,Motor Vehicle Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,78,0,1,3,2
1249,Friday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,83,0,1,5,-1
1250,Tuesday,Burglary,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,40,0,1,1,-1
1251,Tuesday,Burglary,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,78,0,1,6,2
1252,Thursday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,83,0,1,9,-1
1253,Tuesday,Lost Property,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,60,0,1,3,-1
1254,Wednesday,Drug Offense,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,33,0,1,4,3
1255,Thursday,Fraud,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,58,0,1,4,-1
1256,Tuesday,Motor Vehicle Theft,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,45,0,1,4,-1
1257,Thursday,Lost Property,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,65,0,1,5,-1
1258,Monday,Other Miscellaneous,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,33,0,1,3,6
1259,Tuesday,Burglary,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,41,0,1,2,3
1260,Tuesday,Malicious Mischief,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,68,0,1,3,12
1261,Tuesday,Larceny Theft,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,40,0,1,2,3
1262,Thursday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,39,0,1,3,2
1263,Saturday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,81,0,1,4,-1
1264,Thursday,Malicious Mischief,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,45,0,1,2,-1
1265,Monday,Miscellaneous Investigation,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,22,0,1,2,12
1266,Saturday,Other Miscellaneous,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,42,0,1,3,2
1267,Sunday,Non-Criminal,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,76,0,1,6,6
1268,Friday,Larceny Theft,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,32,0,1,1,-1
1269,Friday,Malicious Mischief,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,76,0,1,6,3
1270,Saturday,Forgery And Counterfeiting,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,26,0,1,1,-1
1271,Friday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,66,0,1,6,6
1272,Sunday,Other Miscellaneous,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,32,0,1,1,-1
1273,Wednesday,Recovered Vehicle,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,73,0,1,8,-1
1274,Thursday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,36,0,1,5,-1
1275,Thursday,Non-Criminal,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,47,0,1,2,-1
1276,Tuesday,Larceny Theft,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,42,0,1,3,-1
1277,Saturday,Larceny Theft,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,45,0,1,4,-1
1278,Friday,Suspicious Occ,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,58,0,1,4,12
1279,Wednesday,Larceny Theft,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,33,0,1,3,9
1280,Friday,Burglary,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,65,0,1,5,-1
1281,Sunday,Burglary,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,60,0,1,3,3
1282,Tuesday,Non-Criminal,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,33,0,1,4,-1
1283,Wednesday,Larceny Theft,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,45,0,1,2,11
1284,Tuesday,Recovered Vehicle,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,45,0,1,4,5
1285,Sunday,Larceny Theft,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,58,0,1,4,-1
1286,Thursday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,33,0,1,4,2
1287,Friday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,60,0,1,3,-1
1288,Monday,Non-Criminal,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,65,0,1,5,-1
1289,Tuesday,Assault,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,33,0,1,3,-1
1290,Saturday,Larceny Theft,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,41,0,1,2,-1
1291,Friday,Robbery,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,68,0,1,3,-1
1292,Wednesday,Motor Vehicle Theft,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,45,0,1,2,3
1293,Tuesday,Motor Vehicle Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,66,0,1,6,-1
1294,Thursday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,32,0,1,1,12
1295,Thursday,Burglary,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,36,0,1,5,-1
1296,Wednesday,Motor Vehicle Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,59,0,1,18,-1
1297,Saturday,Larceny Theft,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,41,0,1,4,4
1298,Monday,Burglary,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,42,0,1,5,-1
1299,Wednesday,Assault,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,67,0,1,9,-1
1300,Sunday,Larceny Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,27,0,1,1,6
1301,Monday,Non-Criminal,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,70,0,1,14,4
1302,Wednesday,Non-Criminal,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,,0,1,0,-1
1303,Saturday,Non-Criminal,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,36,0,1,6,-1
1304,Friday,Suspicious Occ,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,61,0,1,4,-1
1305,Saturday,Larceny Theft,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,36,0,1,12,-1
1306,Thursday,Malicious Mischief,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,78,0,1,4,-1
1307,Tuesday,Fraud,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,29,0,1,3,-1
1308,Wednesday,Malicious Mischief,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,87,0,1,7,11
1309,Monday,Motor Vehicle Theft,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,56,0,1,5,-1
1310,Friday,Larceny Theft,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,81,0,1,4,-1
1311,Thursday,Larceny Theft,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,39,0,1,3,-1
1312,Monday,Larceny Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,46,0,1,4,3
1313,Saturday,Forgery And Counterfeiting,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,78,0,1,3,-1
1314,Thursday,Fraud,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,40,0,1,2,-1
1315,Thursday,Burglary,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,39,0,1,3,-1
1316,Friday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,81,0,1,4,2
1317,Wednesday,Non-Criminal,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,22,0,1,2,6
1318,Tuesday,Non-Criminal,CASTRO ST \ DUNCAN ST,37.74568669,-122.4335454,76,0,1,6,-1
1319,Tuesday,Burglary,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,32,0,1,1,-1
1320,Thursday,Offences Against The Family And Children,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,42,0,1,3,-1
1321,Friday,Lost Property,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,26,0,1,1,-1
1322,Saturday,Larceny Theft,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,76,0,1,6,2
1323,Friday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,41,0,1,2,-1
1324,Thursday,Larceny Theft,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,68,0,1,3,-1
1325,Friday,Larceny Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,33,0,1,4,-1
1326,Wednesday,Non-Criminal,CAMEO WAY \ DUNCAN ST,37.74514621,-122.4429495,60,0,1,3,-1
1327,Friday,Other Miscellaneous,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,58,0,1,4,-1
1328,Thursday,Malicious Mischief,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,71,0,1,3,-1
1329,Thursday,Robbery,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,32,0,1,1,3
1330,Sunday,Burglary,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,54,0,1,1,-1
1331,Wednesday,Suicide,DIAMOND ST \ DUNCAN ST,37.74554995,-122.4357668,43,0,1,1,-1
1332,Monday,Assault,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,,inf,0,0,-1
1333,Friday,Larceny Theft,SAN JOSE AVE \ DUNCAN ST,37.74641225,-122.4217044,33,0,1,3,-1
1334,Friday,Larceny Theft,AMBER DR \ DUNCAN ST \ RED ROCK WAY,37.74589849,-122.443374,47,0,1,2,-1
1335,Wednesday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74529603,-122.440088,42,0,1,3,-1
1336,Tuesday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,73,0,1,8,11
1337,Friday,Larceny Theft,SANCHEZ ST \ DUNCAN ST,37.74596004,-122.4291162,60,0,1,3,2
1338,Thursday,Burglary,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,33,0,1,4,-1
1339,Saturday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,58,0,1,4,-1
1340,Friday,Larceny Theft,DUNCAN ST \ DOUGLASS ST,37.74543459,-122.4379345,45,0,1,4,5
1341,Saturday,Larceny Theft,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,65,0,1,5,-1
1342,Saturday,Non-Criminal,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,33,0,1,3,-1
1343,Thursday,Larceny Theft,NOE ST \ DUNCAN ST,37.74582826,-122.4313247,41,0,1,2,12
1344,Monday,Burglary,TIFFANY AVE \ DUNCAN ST,37.74649204,-122.4203576,68,0,1,3,-1
1345,Thursday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,40,0,1,2,-1
1346,Tuesday,Burglary,DUNCAN ST \ DOLORES ST,37.7462414,-122.4246028,39,0,1,3,-1
1347,Thursday,Larceny Theft,NEWBURG ST \ DUNCAN ST,37.7456116,-122.4347229,81,0,1,4,-1
1348,Thursday,Miscellaneous Investigation,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,45,0,1,2,-1
1349,Saturday,Larceny Theft,DIAMOND HEIGHTS BLVD \ DUNCAN ST,37.74655767,-122.4434037,22,0,1,2,-1
1350,Wednesday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,42,0,1,3,11
1351,Tuesday,Larceny Theft,CHURCH ST \ DUNCAN ST,37.74609877,-122.4268912,76,0,1,6,-1
1352,Friday,Suspicious Occ,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,32,0,1,1,-1
1353,Thursday,Larceny Theft,TAYLOR ST \ ISADORA DUNCAN LN,37.78756686,-122.4116422,76,0,1,6,-1
1354,Tuesday,Larceny Theft,AMBER DR \ DUNCAN ST,37.74523094,-122.4412703,26,0,1,1,12
