,probability,rate,overnight,openSpaces
455,40.0,0.0,1,2
456,39.0,0.0,1,3
457,82.0,0.0,1,4
458,45.0,0.0,1,2
459,24.0,0.0,1,2
460,42.0,0.0,1,3
461,76.0,0.0,1,6
462,32.0,0.0,1,1
463,78.0,0.0,1,6
464,26.0,0.0,1,1
465,67.0,0.0,1,6
466,32.0,0.0,1,1
467,73.0,0.0,1,8
468,36.0,0.0,1,5
469,47.0,0.0,1,2
470,42.0,0.0,1,3
471,60.0,0.0,1,3
472,33.0,0.0,1,4
473,58.0,0.0,1,4
474,45.0,0.0,1,4
475,65.0,0.0,1,5
476,34.0,0.0,1,3
477,41.0,0.0,1,2
478,68.0,0.0,1,3
479,40.0,0.0,1,2
480,39.0,0.0,1,3
481,82.0,0.0,1,4
482,45.0,0.0,1,2
483,24.0,0.0,1,2
484,42.0,0.0,1,3
485,76.0,0.0,1,6
486,32.0,0.0,1,1
487,78.0,0.0,1,6
488,26.0,0.0,1,1
489,67.0,0.0,1,6
490,32.0,0.0,1,1
491,73.0,0.0,1,8
492,36.0,0.0,1,5
493,47.0,0.0,1,2
494,42.0,0.0,1,3
495,60.0,0.0,1,3
496,33.0,0.0,1,4
497,58.0,0.0,1,4
498,45.0,0.0,1,4
499,65.0,0.0,1,5
500,34.0,0.0,1,3
501,41.0,0.0,1,2
502,68.0,0.0,1,3
503,40.0,0.0,1,2
504,39.0,0.0,1,3
505,82.0,0.0,1,4
506,45.0,0.0,1,2
507,24.0,0.0,1,2
508,42.0,0.0,1,3
509,76.0,0.0,1,6
510,32.0,0.0,1,1
511,78.0,0.0,1,6
512,26.0,0.0,1,1
513,67.0,0.0,1,6
514,32.0,0.0,1,1
515,73.0,0.0,1,8
516,36.0,0.0,1,5
517,47.0,0.0,1,2
518,42.0,0.0,1,3
519,81.0,0.0,1,11
520,83.0,0.0,1,11
521,76.0,0.0,1,6
522,89.0,0.0,1,12
523,86.0,0.0,1,8
524,38.0,0.0,1,1
525,92.0,0.0,1,7
526,93.0,0.0,1,16
527,94.0,0.0,1,9
528,,inf,0,0
529,85.0,0.0,1,16
530,,inf,0,0
531,50.0,0.0,1,1
532,89.0,0.0,1,12
533,83.0,0.0,1,5
534,43.0,0.0,1,1
535,71.0,0.0,1,6
536,89.0,0.0,1,21
537,45.0,0.0,1,4
538,58.0,0.0,1,4
539,34.0,0.0,1,3
540,65.0,0.0,1,5
541,60.0,0.0,1,3
542,33.0,0.0,1,4
543,45.0,0.0,1,2
544,85.0,0.0,1,20
545,90.0,0.0,1,8
546,94.0,0.0,1,12
547,83.0,0.0,1,6
548,87.0,0.0,1,12
549,92.0,0.0,1,10
550,82.0,0.0,1,4
551,83.0,0.0,1,4
552,81.0,0.0,1,4
553,86.0,0.0,1,6
554,46.0,0.0,1,4
555,78.0,0.0,1,3
556,83.0,0.0,1,5
557,43.0,0.0,1,1
558,78.0,0.0,1,6
559,83.0,0.0,1,9
560,59.0,0.0,1,18
561,41.0,0.0,1,4
562,42.0,0.0,1,5
563,67.0,0.0,1,9
564,27.0,0.0,1,1
565,70.0,0.0,1,14
566,,0.0,1,0
567,36.0,0.0,1,6
568,61.0,0.0,1,4
569,36.0,0.0,1,12
570,78.0,0.0,1,4
571,29.0,0.0,1,3
572,87.0,0.0,1,7
573,56.0,0.0,1,5
574,82.0,0.0,1,4
575,39.0,0.0,1,3
576,46.0,0.0,1,4
577,78.0,0.0,1,3
578,45.0,0.0,1,4
579,58.0,0.0,1,4
580,33.0,0.0,1,4
581,60.0,0.0,1,3
582,65.0,0.0,1,5
583,34.0,0.0,1,3
584,41.0,0.0,1,2
585,68.0,0.0,1,3
586,45.0,0.0,1,2
587,67.0,0.0,1,6
588,32.0,0.0,1,1
589,36.0,0.0,1,5
590,60.0,0.0,1,3
591,33.0,0.0,1,4
592,58.0,0.0,1,4
593,45.0,0.0,1,4
594,65.0,0.0,1,5
595,34.0,0.0,1,3
596,41.0,0.0,1,2
597,68.0,0.0,1,3
598,40.0,0.0,1,2
599,39.0,0.0,1,3
600,82.0,0.0,1,4
601,45.0,0.0,1,2
602,22.0,0.0,1,2
603,42.0,0.0,1,3
604,76.0,0.0,1,6
605,32.0,0.0,1,1
606,78.0,0.0,1,6
607,26.0,0.0,1,1
608,67.0,0.0,1,6
609,32.0,0.0,1,1
610,73.0,0.0,1,8
611,36.0,0.0,1,5
612,47.0,0.0,1,2
613,42.0,0.0,1,3
614,59.0,0.0,1,18
615,41.0,0.0,1,4
616,42.0,0.0,1,5
617,67.0,0.0,1,9
618,27.0,0.0,1,1
619,70.0,0.0,1,14
620,,0.0,1,0
